,Unnamed: 0,ID,Latitude,Longitude,State
1672,163899,8207.0,21.82,80.2021,Madhya Pradesh
1673,163919,8208.0,27.3192,82.4105,Uttar Pradesh
1674,163939,8209.0,9.74073,77.285,Tamil Nadu
1675,163959,8210.0,23.5278,80.8349,Madhya Pradesh
1676,163979,8211.0,23.1822,80.6975,Madhya Pradesh
1677,163999,8212.0,17.5159,78.8899,Telangana
1678,164019,8213.0,8.26913,77.1565,Tamil Nadu
1679,164039,8214.0,10.0024,77.3537,Tamil Nadu
1680,164059,8215.0,26.6038,82.1325,Uttar Pradesh
1681,164079,8216.0,24.5389,81.2967,Madhya Pradesh
1682,164099,8217.0,21.0836,80.0069,Maharashtra
1683,164119,8218.0,20.0642,79.6711,Maharashtra
1684,164139,8219.0,16.3988,78.6355,Telangana
1685,164159,8220.0,25.4805,81.6635,Uttar Pradesh
1686,164179,8221.0,20.6137,79.8562,Maharashtra
1687,164199,8222.0,11.2738,77.5871,Tamil Nadu
1688,164219,8223.0,8.33871,77.1665,Kerala
1689,164239,8224.0,26.5385,82.132,Uttar Pradesh
1690,164259,8225.0,11.0063,77.5634,Tamil Nadu
1691,164279,8226.0,8.97174,77.2589,Tamil Nadu
1692,164319,8228.0,19.3529,79.4809,Telangana
1693,164339,8229.0,10.7399,77.5256,Tamil Nadu
1694,164359,8230.0,27.0064,82.353,Uttar Pradesh
1695,164379,8231.0,12.9922,77.929,Karnataka
1696,164399,8232.0,26.4744,82.1249,Uttar Pradesh
1697,164419,8233.0,26.2529,82.0683,Uttar Pradesh
1698,164439,8234.0,22.2943,80.4697,Madhya Pradesh
1699,164459,8235.0,21.4545,80.1961,Maharashtra
1700,164479,8236.0,14.4208,78.2263,Andhra Pradesh
1701,164499,8237.0,14.1093,78.1621,Andhra Pradesh
1702,164519,8238.0,11.377,77.708,Tamil Nadu
1703,164539,8239.0,8.306,77.2195,Tamil Nadu
1704,164559,8240.0,24.9637,81.4909,Madhya Pradesh
1705,164579,8241.0,15.4692,78.4876,Andhra Pradesh
1706,164599,8242.0,24.7287,81.4109,Madhya Pradesh
1707,164619,8243.0,15.8787,78.5811,Andhra Pradesh
1708,164639,8244.0,10.2367,77.4876,Tamil Nadu
1709,164659,8245.0,10.0009,77.4637,Tamil Nadu
