,ID,Unnamed: 0,Latitude,Longitude,State
341,10621.0,211419,37.0321,111.913,山西省
342,10622.0,211439,24.7681,103.278,云南省
343,10623.0,211459,30.8355,106.968,四川省
344,10624.0,211479,34.4942,109.747,陕西省
345,10625.0,211499,27.8485,105.046,云南省
346,10626.0,211519,26.2319,104.122,云南省
347,10627.0,211539,37.2026,112.176,山西省
348,10628.0,211559,35.59,110.71,山西省
349,10629.0,211579,37.3615,112.323,山西省
350,10630.0,211599,25.5181,103.809,云南省
351,10631.0,211619,23.6292,102.835,云南省
352,10632.0,211639,30.3776,106.76,四川省
353,10633.0,211659,27.4286,104.871,云南省
354,10634.0,211679,29.5866,106.224,重庆市
355,10635.0,211699,27.1136,104.71,贵州省
356,10636.0,211719,37.6875,112.723,山西省
357,10637.0,211739,29.8112,106.415,重庆市
358,10638.0,211759,29.6116,106.313,重庆市
359,10639.0,211779,32.079,108.036,四川省
360,10640.0,211799,29.4764,106.233,重庆市
361,10641.0,211819,40.402,115.516,河北省
362,10642.0,211839,36.5742,111.733,山西省
363,10643.0,211859,28.8127,105.844,四川省
364,10644.0,211879,27.4224,104.968,云南省
365,10645.0,211899,28.1698,105.431,四川省
366,10646.0,211919,25.0283,103.656,云南省
367,10647.0,211939,31.2055,107.485,四川省
368,10648.0,211959,28.5938,105.709,四川省
369,10649.0,211979,26.7693,104.633,贵州省
370,10650.0,211999,37.4191,112.548,山西省
371,10651.0,212019,45.3796,121.559,内蒙古自治区
372,10652.0,212039,29.8106,106.514,重庆市
373,10653.0,212059,29.6504,106.427,重庆市
374,10655.0,212099,25.0503,103.75,云南省
375,10656.0,212119,35.6036,110.971,山西省
376,10657.0,212139,29.2779,106.268,重庆市
377,10658.0,212159,24.4122,103.423,云南省
378,10659.0,212179,34.552,110.104,陕西省
379,10660.0,212199,30.7425,107.211,四川省
380,10661.0,212219,30.3379,106.925,四川省
381,10662.0,212239,29.4976,106.369,重庆市
382,10664.0,212279,29.5539,106.526,重庆市
