,Unnamed: 0,ID,Latitude,Longitude,State
320,20419,1021.0,41.7152,-71.1554,MA
321,20459,1023.0,42.297,-71.4047,MA
322,20499,1025.0,41.6395,-70.9208,MA
323,20539,1027.0,42.3875,-71.0621,MA
324,20559,1028.0,42.09,-71.0264,MA
325,20579,1029.0,42.7554,-71.4775,NH
326,20599,1030.0,42.6392,-71.3191,MA
327,20659,1033.0,42.9748,-71.4524,NH
328,20679,1034.0,42.7093,-71.1636,MA
329,20999,1050.0,43.6582,-70.2933,ME
